,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.8,0.7571428571428571,0.7384615384615385,0.8153846153846154,0.7769230769230769,0.8378571428571429,0.22142857142857142
1,0.75,0.7285714285714285,0.703125,0.7727272727272727,0.7384615384615385,0.8419047619047619,0.26071428571428573
2,0.8666666666666667,0.8142857142857143,0.8,0.8769230769230769,0.8384615384615385,0.8866666666666666,0.1595238095238095
3,0.8166666666666667,0.8142857142857143,0.7903225806451613,0.8382352941176471,0.8153846153846154,0.9002380952380952,0.18452380952380953
4,0.7833333333333333,0.8428571428571429,0.8103448275862069,0.8194444444444444,0.8153846153846154,0.9016666666666667,0.1869047619047619
5,0.7166666666666667,0.8115942028985508,0.7678571428571429,0.7671232876712328,0.7674418604651163,0.8270531400966185,0.23586956521739127
6,0.75,0.782608695652174,0.75,0.782608695652174,0.7674418604651163,0.8328502415458937,0.23369565217391303
7,0.8833333333333333,0.7101449275362319,0.726027397260274,0.875,0.7906976744186046,0.8951690821256039,0.20326086956521738
8,0.8305084745762712,0.7971014492753623,0.7777777777777778,0.8461538461538461,0.8125,0.9044460820437239,0.18619503807418325
9,0.7796610169491526,0.8115942028985508,0.7796610169491526,0.8115942028985508,0.796875,0.8548268238761976,0.20437239007614832
