,0
0,0.6799403697078116
1,0.7216337768336315
2,0.7316576289505068
3,0.7355638789505068
4,0.7347466644305307
5,0.7409545505366726
6,0.7463569618366129
7,0.7571921586165772
8,0.7587605284734644
9,0.7641391808288611
10,0.7803527504472273
11,0.785076308139535
12,0.7974194991055457
13,0.7904671660703638
14,0.8043548747763865
15,0.7958933363148479
16,0.8020832401610019
17,0.7857852564102564
18,0.8005027579010138
19,0.8013196929039953
20,0.8005264236732259
21,0.79355573568873
22,0.7974258348240907
23,0.7912597830948123
24,0.7912419871794871
25,0.7881711203041146
26,0.7958150715563507
27,0.7996732446332737
28,0.8012959339594514
29,0.798921996124031
30,0.8043666144901611
31,0.799709395497913
32,0.8067344029516995
33,0.8059350775193799
34,0.8051240123732857
35,0.8066746794871795
36,0.8090061307394156
37,0.80207709078712
38,0.8159831544424568
39,0.8036035330948123
40,0.8043428555456172
41,0.8128820997316637
42,0.8074798747763865
43,0.8113618999701849
44,0.8067224768932618
45,0.809036318574836
46,0.8120891100178891
47,0.8159652653548003
48,0.809018336314848
49,0.8097814177101968
50,0.8082611247763865
51,0.8136337209302326
52,0.807497763864043
53,0.8190599843470483
54,0.8043307431425164
55,0.8113198792486583
56,0.8044268969886703
57,0.8113317121347645
58,0.8136694991055456
59,0.8074379472271914
60,0.8027922816040549
61,0.8121250745378653
62,0.8035976632379249
63,0.8120472756410256
64,0.792816413237925
65,0.8028405448717949
66,0.8105685375670841
67,0.8074376677101969
68,0.8066143038163387
69,0.807455836314848
70,0.7973958333333334
71,0.8066743999701849
72,0.8020113111210495
73,0.795809481216458
74,0.7996855433810376
75,0.8051719029516995
76,0.8028341159809184
77,0.8043187239117472
78,0.7927743925163984
79,0.7927623732856292
